key,count,percent_of_total_changes
roof:material:type,10253,0.0265
building:gable_wall,10238,0.0265
source_type_survey,10174,0.0263
retrofit,9976,0.0258
religion,9562,0.0247
floor:material:type,9561,0.0247
physical_condition,9486,0.0245
Attribute_source_date,9268,0.024
Attribute_source_type,9256,0.0239
isced:level,9097,0.0235
source_type_GPS,9061,0.0234
Source,9052,0.0234
building:levels:underground,9027,0.0234
building:irregularity,9013,0.0233
roof:cover:material,9013,0.0233
building:groundslope,9012,0.0233
roof_shade:present,9011,0.0233
physical:condition,9009,0.0233
wall:material,9001,0.0233
name:etymology:wikidata,8948,0.0232
ele,8929,0.0231
name:en,8882,0.023
wall:thickness,8882,0.023
pcode,8721,0.0226
cycleway:right,8717,0.0226
boat,8690,0.0225
source:health_facility,8662,0.0224
source:maxspeed,8661,0.0224
surface_condition,8537,0.0221
segregated,8502,0.022
seismic_resistance,8274,0.0214
source:name,8157,0.0211
is_in:district,8145,0.0211
admin_unit,8141,0.0211
mapping_project,8141,0.0211
junction,8108,0.021
start_date,8050,0.0208
cables,8044,0.0208
source:geometry,7988,0.0207
motor_vehicle,7947,0.0206
occupant:day,7891,0.0204
cycleway,7692,0.0199
source_type_walking_paper,7674,0.0199
cycleway:both,7622,0.0197
refugee,7617,0.0197
source:imagery,7562,0.0196
personnel:count,7557,0.0196
wikidata,7296,0.0189
sport,7185,0.0186
kll:oid,6895,0.0178
parking,6869,0.0178
horse,6837,0.0177
maxspeed:type,6758,0.0175
damage,6750,0.0175
width,6735,0.0174
zone:maxspeed,6704,0.0173
wheelchair,6631,0.0172
paho:id,6622,0.0171
paho:department,6612,0.0171
paho:commune,6609,0.0171
paho:district_id,6609,0.0171
paho:region_id,6609,0.0171
paho:commune_id,6605,0.0171
column:size:breadth,6581,0.017
column:size:length,6581,0.017
alt_name,6578,0.017
damage:structure,6514,0.0169
health_facility:type,6478,0.0168
water,6341,0.0164
covered,6151,0.0159
occupant:night,6123,0.0158
network:wikidata,6030,0.0156
power:inverter,5911,0.0153
waste:collection,5911,0.0153
household:water:jar_delivered,5910,0.0153
waste:segregation,5909,0.0153
household:water:public_supply,5908,0.0153
household:water:tanker_delivered,5907,0.0153
internet_access:provider,5904,0.0153
power:solar_panel,5904,0.0153
heating:solar,5901,0.0153
waste:blackwater,5900,0.0153
office:name,5899,0.0153
office:type,5893,0.0152
usage,5883,0.0152
electrified,5783,0.015
occupant:morning,5668,0.0147
crossing:island,5657,0.0146
circuits,5622,0.0145
cuisine,5586,0.0145
source:damage,5561,0.0144
student:count,5560,0.0144
wikipedia,5446,0.0141
tiger:name_base_2,5419,0.014
occupant:evening,5417,0.014
damage:assessment,5370,0.0139
fee,5326,0.0138
level,5145,0.0133
description,5130,0.0133
office,5049,0.0131
brand,5000,0.0129
toll,4881,0.0126
type,4766,0.0123
IOM:project,4765,0.0123
denomination,4757,0.0123
idp:status_20150503,4727,0.0122
colour,4699,0.0122
building:adjacency:level,4639,0.012
noexit,4600,0.0119
hgv,4529,0.0117
management_type,4519,0.0117
crossing:markings,4476,0.0116
historic,4429,0.0115
population,4389,0.0114
personnel,4336,0.0112
concrete,4326,0.0112
incline,4299,0.0111
fixme:building,4289,0.0111
contact_person,4220,0.0109
Household Code,4213,0.0109
lanes:forward,4182,0.0108
is_in:country_code,4127,0.0107
capacity,3996,0.0103
lane_markings,3965,0.0103
idp:status_20150514,3918,0.0101
brownfield:source_20150503,3912,0.0101
bench,3882,0.01
network:wikipedia,3862,0.01
tiger:zip_left_1,3840,0.0099
NHS,3823,0.0099
int_ref,3817,0.0099
lanes:backward,3787,0.0098
shelter,3763,0.0097
Household Info By,3746,0.0097
border_type,3636,0.0094
gnis:feature_id,3604,0.0093
loc_ref,3563,0.0092
power_source,3539,0.0092
aeroway,3522,0.0091
ref:corine_land_cover,3487,0.009
old_name,3471,0.009
place:area_alternate,3468,0.009
destination,3449,0.0089
construction,3446,0.0089
emergency:helipad,3410,0.0088
brand:wikidata,3399,0.0088
int_name,3382,0.0088
trolley_wire,3341,0.0086
idp:source_20150503,3334,0.0086
gender_access,3327,0.0086
frontage_road,3317,0.0086
commune,3235,0.0084
students,3231,0.0084
disability_access,3228,0.0084
damage_status,3202,0.0083
check_date,3179,0.0082
idp:source_20150514,3179,0.0082
id:ssid,3167,0.0082
cycleway:left,3149,0.0081
email,3113,0.0081
households,3104,0.008
sectional,3100,0.008
building:adjacency:difference,3074,0.008
passenger_lines,3070,0.0079
traffic_calming,3048,0.0079
scvwd:ROUTEID,3046,0.0079
tiger:name_type_2,3032,0.0078
scolar_type,3028,0.0078
rer_edi_id:ref,2980,0.0077
attribution,2952,0.0076
crossing_ref,2858,0.0074
gnis:created,2846,0.0074
nhd:com_id,2842,0.0074
basin,2838,0.0073
scolar_district,2836,0.0073
generator:source,2781,0.0072
attribute_source_name,2776,0.0072
brownfield:source_20150514,2757,0.0071
name:fr,2701,0.007
abandoned,2698,0.007
paho:type,2659,0.0069
building:part,2636,0.0068
destination:ref,2580,0.0067
tiger:name_direction_prefix_1,2558,0.0066
taxon,2550,0.0066
gnis:state_id,2543,0.0066
gnis:county_id,2540,0.0066
content,2538,0.0066
addr:full,2536,0.0066
trolley_wire:both,2506,0.0065
water_type,2428,0.0063
disused,2422,0.0063
nat_ref,2417,0.0063
trolley_wire:forward,2403,0.0062
PASS_route,2390,0.0062
loc_name,2367,0.0061
sac_scale,2325,0.006
name:ne,2292,0.0059
pump_type,2264,0.0059
school_type,2264,0.0059
old_railway_operator,2235,0.0058
building:year,2234,0.0058
capacity:beds,2223,0.0058
turn:lanes:forward,2206,0.0057
ward,2197,0.0057
direction,2193,0.0057
geometry_source_name,2143,0.0055
railway:scmt,2131,0.0055
trolleybus,2121,0.0055
short_name,2080,0.0054
healthcare,2073,0.0054
location,2062,0.0053
health_facility:department,2054,0.0053
health_facility:paho_id,2050,0.0053
turn:lanes:backward,2049,0.0053
health_facility:commune,2042,0.0053
health_facility:commune_id,2042,0.0053
line,2034,0.0053
Date,1980,0.0051
gnis:id,1977,0.0051
tiger:tlid,1959,0.0051
water_quality_issue,1954,0.0051
school_district,1952,0.0051
emergency,1946,0.005
maxheight,1941,0.005
genus:wikidata,1934,0.005
tiger:name_direction_suffix,1920,0.005
bin,1907,0.0049
id_commune,1904,0.0049
internet_access,1897,0.0049
camp,1890,0.0049
indoor,1879,0.0049
name:np,1841,0.0048
golf,1834,0.0047
drinking_water,1807,0.0047
source_ref,1800,0.0047
facility:x-ray,1791,0.0046
facility:ventilator,1790,0.0046
facility:icu,1782,0.0046
facility:operating_theatre,1782,0.0046
railway:traffic_mode,1768,0.0046
opd:patients:count,1762,0.0046
note:mk408,1723,0.0045
crop,1722,0.0045
name:it,1706,0.0044
tiger:name_direction_suffix_1,1692,0.0044
recycling_type,1676,0.0043
condition,1663,0.0043
bicycle_parking,1628,0.0042
generator:method,1606,0.0042
tiger:source,1589,0.0041
place:description,1587,0.0041
contact:phone,1579,0.0041
entrance,1579,0.0041
embankment,1567,0.0041
motorcycle,1566,0.0041
humanitarian_use,1561,0.004
tiger:separated,1560,0.004
kerb,1559,0.004
mtb:scale,1554,0.004
source:name:etymology,1552,0.004
designation,1487,0.0038
substation,1474,0.0038
alt,1472,0.0038
parking_space,1460,0.0038
name:ru,1435,0.0037
history,1423,0.0037
seasonal,1419,0.0037
hov,1418,0.0037
date,1416,0.0037
building:irregularity:type,1396,0.0036
name:ht,1387,0.0036
tiger:zip_right_1,1373,0.0036
trail_visibility,1372,0.0035
hgv:national_network,1370,0.0035
building:colour,1363,0.0035
oneway:bicycle,1355,0.0035
operator:wikidata,1347,0.0035
postal_code,1345,0.0035
brand:wikipedia,1344,0.0035
cycleway:surface,1342,0.0035
out_patients,1340,0.0035
facilities:OT,1339,0.0035
facilities:ICU/CCU,1337,0.0035
building:approx_footprint_area,1334,0.0035
building:damage_grade_Gorkha_eq,1334,0.0035
building:primary_occupancy,1334,0.0035
building:type_of_construction,1334,0.0035
nset:DDA_building_id,1334,0.0035
facilities:Ventilators,1328,0.0034
facilities:X-Ray,1328,0.0034
building:occupant_num,1315,0.0034
place:nearestlandmark,1311,0.0034
traffic_signals,1304,0.0034
hfac_type,1303,0.0034
tower:type,1285,0.0033
school_sector,1283,0.0033
backrest,1274,0.0033
canal_type,1270,0.0033
roof:colour,1222,0.0032
name_2,1211,0.0031
HOUSE_NO,1204,0.0031
addr:housename,1188,0.0031
galli,1176,0.003
handrail,1169,0.003
dispensing,1154,0.003
shelter_type,1150,0.003
canal_base_material,1139,0.0029
information,1136,0.0029
source:lca,1136,0.0029
ref:mise,1133,0.0029
smoking,1131,0.0029
hazmat,1129,0.0029
bridge:structure,1125,0.0029
roof:levels,1124,0.0029
kill:oid,1110,0.0029
traffic_signals:sound,1108,0.0029
cutting,1103,0.0029
fuel:diesel,1099,0.0028
motorcar,1097,0.0028
health_facility_type,1094,0.0028
atm,1082,0.0028
train,1063,0.0028
generator:type,1059,0.0027
generator:output:electricity,1051,0.0027
source:image,1051,0.0027
Texas_Trunk_System,1048,0.0027
source:Texas_Trunk_System,1047,0.0027
outdoor_seating,1043,0.0027
school_ht_fondamental_1er_et_2e_cycle,1040,0.0027
odbl,1027,0.0027
ramp,1014,0.0026
maxspeed:tilting,1006,0.0026
name:zh,1006,0.0026
prac,992,0.0026
button_operated,991,0.0026
footway:surface,983,0.0025
source:lca:date,980,0.0025
fuel:octane_95,972,0.0025
fut_ref,969,0.0025
color,954,0.0025
noref,949,0.0025
transportation_use_category,949,0.0025
copythis,942,0.0024
takeaway,939,0.0024
craft,911,0.0024
canal_banks_left,904,0.0023
psv,901,0.0023
ref:IHSI,893,0.0023
health_facility:bed,892,0.0023
motorroad,890,0.0023
ref:station,889,0.0023
shoulder,881,0.0023
sidewalk:both,878,0.0023
canal_banks_right,870,0.0023
traffic_signals:direction,868,0.0022
noname,861,0.0022
name:es,854,0.0022
placement,847,0.0022
kitchen,845,0.0022
addr:ward,841,0.0022
toll_method,838,0.0022
status,836,0.0022
beds,826,0.0021
source:ref,824,0.0021
sahana_id,817,0.0021
bridge_type,816,0.0021
min_height,816,0.0021
barrier:obstacle_type,815,0.0021
design,806,0.0021
FIXME:COSMHA,798,0.0021
payment:cash,782,0.002
opening_hours:morning,777,0.002
nat_name,762,0.002
survey:date,762,0.002
souce,757,0.002
mortar:joint,750,0.0019
building:type,749,0.0019
internet_access:fee,746,0.0019
opening_hours:tuesday,745,0.0019
residential,744,0.0019
school_license,738,0.0019
sidewalk:right,728,0.0019
gnis:county_name,725,0.0019
opening_hours:friday,724,0.0019
sidewalk:left,722,0.0019
smoothness:date,722,0.0019
tiger:name_base_3,722,0.0019
abandoned:railway,721,0.0019
opening_hours:thursday,720,0.0019
name:be,719,0.0019
expressway,718,0.0019
school_ht_prescolaire,714,0.0018
opening_hours:wednesday,713,0.0018
court,711,0.0018
busway,705,0.0018
base material values,702,0.0018
opening_hours:monday,701,0.0018
futur_use,696,0.0018
tiger:zip_left_2,690,0.0018
capacity:disabled,688,0.0018
artwork_type,686,0.0018
contact:facebook,686,0.0018
name:el,680,0.0018
contact:email,677,0.0018
crossing:signals,673,0.0017
source_type_GIS_dataset,669,0.0017
proximity,668,0.0017
oneway:psv,667,0.0017
route,667,0.0017
tap,666,0.0017
building_use,663,0.0017
seamark:type,661,0.0017
name:zh_pinyin,659,0.0017
canal_shape,656,0.0017
hfac_bed,653,0.0017
sector,651,0.0017
construction_date,648,0.0017
2008_use,645,0.0017
floodable,645,0.0017
delivery:covid19,643,0.0017
education_structure_type,642,0.0017
name_old,640,0.0017
project:cosmhastm,635,0.0016
contact:website,630,0.0016
wheelchair:description,629,0.0016
tiger:upload_uuid,626,0.0016
fax,622,0.0016
pcode_3,620,0.0016
watch:80n,619,0.0016
pcode_2,618,0.0016
denotation,617,0.0016
note:segment,616,0.0016
2010_use,614,0.0016
building:start_date,613,0.0016
CONS_TYPE,606,0.0016
2009_use,604,0.0016
drive_through,601,0.0016
health_facility:organisation,601,0.0016
toilet,599,0.0015
supervised,598,0.0015
idp:source_20150427,597,0.0015
maxweight,593,0.0015
addr:unit,586,0.0015
ref:vatin,584,0.0015
flooded,581,0.0015
school:HT,580,0.0015
nature,574,0.0015
tracks,573,0.0015
wires,570,0.0015
school_ht_fondamental_3e_cycle_et_Secondaire,567,0.0015
source_type_map,565,0.0015
id:db_shelter,560,0.0014
idp:status_20150427,560,0.0014
pcode:2,557,0.0014
payment:credit_cards,555,0.0014
name:de,554,0.0014
tiger:STATEFP,553,0.0014
#GWUmapathon,552,0.0014
railway:radio,552,0.0014
tiger:MTFCC,552,0.0014
canal_roof,550,0.0014
contact:housenumber,549,0.0014
tiger:CLASSFP,549,0.0014
tiger:CPI,549,0.0014
tiger:FUNCSTAT,549,0.0014
tiger:LSAD,549,0.0014
tiger:NAME,549,0.0014
tiger:NAMELSAD,549,0.0014
tiger:PCICBSA,549,0.0014
tiger:PCINECTA,549,0.0014
tiger:PLACEFP,549,0.0014
tiger:PLACENS,549,0.0014
tiger:PLCIDFP,549,0.0014
pump,548,0.0014
support,548,0.0014
lamp_type,547,0.0014
contact:street,546,0.0014
capacity:seats,545,0.0014
HH_LINK,543,0.0014
source:sahana,543,0.0014
traffic_signals:vibration,542,0.0014
Household code,541,0.0014
unisex,536,0.0014
recycling:paper,534,0.0014
capital,530,0.0014
gnis:ST_alpha,530,0.0014
gnis:ST_num,529,0.0014
density,528,0.0014
Attribute source date,526,0.0014
gnis:County,526,0.0014
gnis:County_num,526,0.0014
bed,522,0.0014
maxweight:signed,522,0.0014
note:maxspeed,521,0.0013
gnis:Class,518,0.0013
import_uuid,515,0.0013
program_aquatab,515,0.0013
survey_information_access,508,0.0013
gambling,507,0.0013
official_name,504,0.0013
railway:etcs,503,0.0013
tiger:name_direction_suffix_2,500,0.0013
CATEGORY,498,0.0013
lamp_mount,496,0.0013
oneway:bus,495,0.0013
USE,488,0.0013
school:first_cycle,485,0.0013
AREA,483,0.0012
Shape_Area,483,0.0012
Shape_Leng,482,0.0012
WARD_NO,481,0.0012
NO_OF_STOR,478,0.0012
SECTOR,478,0.0012
description:it,478,0.0012
stars,478,0.0012
ASSOCIATED,477,0.0012
FCODE,477,0.0012
PERIMETER,477,0.0012
ROAD_CODE,477,0.0012
obstacle,477,0.0012
mtb:scale:uphill,473,0.0012
tiger:state_id,468,0.0012
idp:source_20150501,466,0.0012
fence_type,459,0.0012
tiger:mtfcc,458,0.0012
lanes:psv:backward,456,0.0012
is_in:state,451,0.0012
prow_ref,444,0.0011
source:prow_ref,443,0.0011
landcover,441,0.0011
wetland,441,0.0011
roof:height,431,0.0011
toilets:disposal,431,0.0011
water_purification,430,0.0011
abandoned:waterway,427,0.0011
hiking,425,0.0011
water_supply,424,0.0011
farming_system,422,0.0011
voltage:primary,421,0.0011
voltage:secondary,421,0.0011
artist_name,420,0.0011
plant:source,419,0.0011
proposed,419,0.0011
recycling:plastic,419,0.0011
gnis:import_uuid,416,0.0011
name:left,416,0.0011
name:oc,415,0.0011
vehicle,415,0.0011
manufacturer,413,0.0011
tap_status,413,0.0011
name:right,411,0.0011
is_in:state_code,409,0.0011
keepme,408,0.0011
contact:mobile,407,0.0011
canal_roof_extent,404,0.001
earthquake_damage,403,0.001
plant:output:electricity,403,0.001
park_ride,402,0.001
product,399,0.001
recycling:cans,399,0.001
is_in:iso_3166_2,398,0.001
note:lanes,397,0.001
crop1:name,395,0.001
opening_date,394,0.001
crop1:percentage,393,0.001
substance,392,0.001
step_count,391,0.001
crop1:time,388,0.001
name:botanical,388,0.001
crop2:name,387,0.001
crop2:percentage,387,0.001
crop2:time,387,0.001
railway:preferred_direction,384,0.001
fuel:GTL_diesel,383,0.001
note:old_railway_operator,382,0.001
gnis:reviewed,380,0.001
opening_hours:afternoon,379,0.001
self_service,379,0.001
recycling:glass_bottles,378,0.001
rehabilitation_need,378,0.001
generator,375,0.001
tiger:name_direction_prefix_2,374,0.001
OperationalStatus,373,0.001
World_Concern:project,373,0.001
access:lanes:forward,372,0.001
name:hi,372,0.001
psv:lanes:forward,372,0.001
school:second_cycle,371,0.001
wikimedia_commons,371,0.001
kitchen_equiped,370,0.001
barrier_bypass,369,0.001
recycling:glass,369,0.001
source:wheelchair,369,0.001
surveillance:type,367,0.0009
maxspeed:hgv,359,0.0009
camera:type,357,0.0009
crop3:name,357,0.0009
crop3:percentage,357,0.0009
crop3:time,357,0.0009
tank,355,0.0009
operator:wikipedia,354,0.0009
highspeed,351,0.0009
ref:isil,350,0.0009
OBJECTID,349,0.0009
name:new,349,0.0009
plant:method,349,0.0009
contact:instagram,348,0.0009
Zoning,347,0.0009
aerialway,342,0.0009
cosmha:project,342,0.0009
narrow,340,0.0009
structure,340,0.0009
OperationalStatusQuality,337,0.0009
imagery,337,0.0009
name:uk,336,0.0009
produce,335,0.0009
fuel:lpg,334,0.0009
disabled,333,0.0009
room,330,0.0009
idp:status_20150501,329,0.0009
depth,327,0.0008
boundary_admin_level1_name,326,0.0008
court_area,326,0.0008
surveillance,326,0.0008
Time,325,0.0008
task,325,0.0008
Household information by,324,0.0008
delivery,324,0.0008
name:source,322,0.0008
fhrs:id,320,0.0008
country,319,0.0008
source_type_field_mission,318,0.0008
photo_url,317,0.0008
camp_site=spontaneous_camp,316,0.0008
project:url,316,0.0008
Humanitarian:HealthFacility:OrganizationType,313,0.0008
communication,313,0.0008
water_source,313,0.0008
toilets:type,310,0.0008
hum_use,309,0.0008
survey_date,309,0.0008
cosmha_stm,308,0.0008
gnis:feature_type,308,0.0008
turn:lanes:both_ways,304,0.0008
vending,303,0.0008
access_status,302,0.0008
Household information,298,0.0008
clothes,298,0.0008
gfoss_id,298,0.0008
width:ROW,298,0.0008
source2,297,0.0008
traffic_sign,295,0.0008
playground,294,0.0008
width:shoulder,292,0.0008
access:lanes:backward,291,0.0008
census:population,291,0.0008
school:preschool_cycle,288,0.0007
TDH_Lausanne,287,0.0007
boundary_admin_level2_name,287,0.0007
payment:debit_cards,287,0.0007
visibility,287,0.0007
psv:lanes:backward,286,0.0007
source:designation,285,0.0007
toilets:access,285,0.0007
meadow,284,0.0007
wikipedia:en,284,0.0007
camp_registered,282,0.0007
class,282,0.0007
facebook,282,0.0007
waste,282,0.0007
communication:mobile_phone,281,0.0007
Building,279,0.0007
owner,279,0.0007
settlement_type,279,0.0007
iata,276,0.0007
name:ja,276,0.0007
warehouse_unit,276,0.0007
boundary_admin_level3_name,274,0.0007
departures_board,273,0.0007
image,273,0.0007
Micro Bus Fare,272,0.0007
lanes:both_ways,271,0.0007
Micro Bus No.,269,0.0007
base_material_values,268,0.0007
healthcare:speciality,267,0.0007
camera:direction,265,0.0007
diet:vegetarian,265,0.0007
icao,263,0.0007
board_type,261,0.0007
opening_hours:sunday,260,0.0007
canal_banks_barriers,259,0.0007
width:carriage,258,0.0007
junction:ref,257,0.0007
addr:place,255,0.0007
name:hu,255,0.0007
opening_hours:saturday,255,0.0007
shower,255,0.0007
bus:lanes:forward,254,0.0007
wall,253,0.0007
toilets:emptying,252,0.0007
toilets:durability,251,0.0006
toilets:tank,251,0.0006
toilets:technology,251,0.0006
address,249,0.0006
ROOF_TYPE,247,0.0006
cycleway:right:lane,245,0.0006
start_chainage,245,0.0006
addr:suburb,242,0.0006
memorial,242,0.0006
place:area,242,0.0006
door,241,0.0006
source:name:fr,241,0.0006
tiger:rttyp,240,0.0006
toilets,239,0.0006
check_date:surface,238,0.0006
air_conditioning,235,0.0006
crop4:name,235,0.0006
crop4:percentage,235,0.0006
capacity_individuals,234,0.0006
toilet_bad,234,0.0006
bus:lanes:backward,233,0.0006
highres,233,0.0006
recycling:green_waste,233,0.0006
AttributeSourceType,231,0.0006
canal_banks_barriers_right,231,0.0006
male,231,0.0006
upload_version,231,0.0006
fuel:octane_100,230,0.0006
is_in:city,230,0.0006
tiger:name_type_3,230,0.0006
building_concrete,228,0.0006
Rent,225,0.0006
imagery:date,224,0.0006
ref:walmart,223,0.0006
female,222,0.0006
payment:mastercard,222,0.0006
surveyor:name,221,0.0006
crop4:time,220,0.0006
mapillary,219,0.0006
route_ref,219,0.0006
fuel:cng,218,0.0006
payment:visa,218,0.0006
telecommunication,218,0.0006
distance,215,0.0006
seats,215,0.0006
canal_banks_barriers_left,214,0.0006
address:country,213,0.0006
water_place:access,213,0.0006
buildings,210,0.0005
classrooms:morning,210,0.0005
payment:coins,210,0.0005
water_place:durability,210,0.0005
water_place_access,210,0.0005
id:uuid,209,0.0005
length,209,0.0005
name:lt,209,0.0005
Shop,208,0.0005
source:name:ht,208,0.0005
water_place_durability,208,0.0005
camp_assessed,207,0.0005
parking:both,207,0.0005
ruins,203,0.0005
name:ar,201,0.0005
rehabilitation_work,201,0.0005
fire_hydrant:type,200,0.0005
waste_management,200,0.0005
heritage,199,0.0005
ID,198,0.0005
exit_to,198,0.0005
recycling:waste,198,0.0005
brownfield:source_20150501,197,0.0005
subject:wikidata,197,0.0005
toilets:cleaning,197,0.0005
idp:source,196,0.0005
name:pl,195,0.0005
canal_description,194,0.0005
Energy_source,193,0.0005
grade,193,0.0005
heritage:operator,193,0.0005
operator id,193,0.0005
project:oif-dfen_carteinnov,193,0.0005
Attribut_source_type,192,0.0005
address:city,192,0.0005
court_surface,192,0.0005
service_times,192,0.0005
social_facility,192,0.0005
crop5:name,191,0.0005
crop5:percentage,191,0.0005
HasCampResidentCommittee,190,0.0005
building:typology,190,0.0005
construction:railway,190,0.0005
name:egl,190,0.0005
railway:switch,190,0.0005
Geometry source date,189,0.0005
is_in:department,189,0.0005
number_building,189,0.0005
toilets:basement,189,0.0005
average_waiting_time,188,0.0005
flood_prone,188,0.0005
Attribute_Source_Type,187,0.0005
camp_management_agency,187,0.0005
canal:obstacle_type,187,0.0005
crop5:time,186,0.0005
importance,186,0.0005
rehabilitation_done,186,0.0005
tank_open,186,0.0005
AttributeSource date,185,0.0005
destination:street,185,0.0005
overtaking,185,0.0005
source:alt_name,185,0.0005
source:start_date,185,0.0005
handwashing_station,184,0.0005
name:cs,184,0.0005
tiger:zip_right_2,184,0.0005
source:width,183,0.0005
taxi,183,0.0005
SHAPESTAre,182,0.0005
SHAPESTLen,182,0.0005
diet:vegan,182,0.0005
name_3,182,0.0005
recycling:organic,182,0.0005
boundary_admin_level4_name,181,0.0005
cesena:ref_id,181,0.0005
Name,180,0.0005
industrial,180,0.0005
source:smoothness,180,0.0005
canal_cover,179,0.0005
Internet_access,178,0.0005
camera:mount,178,0.0005
hires,178,0.0005
microbrewery,177,0.0005
water_place:cleaning,177,0.0005
center_turn_lane,176,0.0005
toilet_good,176,0.0005
bollard,175,0.0005
bottle,175,0.0005
branch,175,0.0005
building:floor_type,175,0.0005
emigrants,175,0.0005
farmland,175,0.0005
government,175,0.0005
ref:edubase,175,0.0005
school:third_cycle,175,0.0005
building:roof_type,174,0.0005
cargo_bike,174,0.0005
impassable,174,0.0005
indoor_seating,174,0.0005
utility,174,0.0005
borehole,172,0.0004
taxon:it,172,0.0004
taxon:wikidata,172,0.0004
project:UNICEF_ACTED_MRR_BasArtibonite_Centre,170,0.0004
ref:whc,170,0.0004
whc:inscription_date,170,0.0004
